production_family,wk,fecha,fa_pn,pn_componente,wo,quantity,cod_defecto,causa,linea,turno
Wands (Kamuk),Week 01,1/3/2020,48400,48404,2046690.0,1,D1093,C7-Proceso,Line 13,T1
Wands (Kamuk),Week 01,1/3/2020,48400,48414,2046690.0,1,DO085,C7-Proceso,Line 13,T 1
Wands (Kamuk),Week 01,1/3/2020,48400,48416,2046690.0,1,DO1646,C7-Proceso,Line 13,T 1
Wands (Kamuk),Week 01,1/3/2020,48400,49697,2046690.0,4,DO1644,C7-Proceso,Line 13,T 1
Wands (Kamuk),Week 01,1/3/2020,48400,20363,2046690.0,4,,C17- Pruebas de calidad,Line 13,T 1
Wands (Kamuk),Week 01,1/3/2020,48400,20363,2046690.0,10,,C11 - Material afectado por otro componente (no requiere cÃ³digo),Line 13,T 1
Wands (Kamuk),Week 01,1/3/2020,48400,26922,2046690.0,4,,C17- Pruebas de calidad,Line 13,T 1
Wands (Kamuk),Week 01,1/3/2020,48400,26922,2046690.0,6,PKG119,C7-Proceso,Line 13,T 1
Wands (Kamuk),Week 01,1/3/2020,48400,26922,2046690.0,4,PKG105,C7-Proceso,Line 13,T 1
Wands (Kamuk),Week 01,1/3/2020,48400,26922,2046692.0,1,,C17- Pruebas de calidad,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,20363,2046692.0,4,,C17- Pruebas de calidad,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,26922,2046692.0,1,PKG119,C7-Proceso,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,20363,2046692.0,1,,C11 - Material afectado por otro componente (no requiere cÃ³digo),Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,49697,2046692.0,1,,C7-Proceso,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,26922,2046691.0,4,,C17- Pruebas de calidad,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,20363,2046691.0,4,,C17- Pruebas de calidad,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,26922,2046691.0,4,PKG119,C7-Proceso,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,20363,2046691.0,10,,C11 - Material afectado por otro componente (no requiere cÃ³digo),Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,26922,2046691.0,6,PKG111,,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,49697,2046691.0,4,DO1643,C7-Proceso,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,48407,2046691.0,1,DO1643,C7-Proceso,Line 13,T 2
Wands (Kamuk),Week 01,1/3/2020,48400,48623,2046691.0,3,DO085,C1-Error del Operador,Line 13,T 2
